,Unnamed: 0,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,username,num_followers,keywords,score,sentiment,search_keywords,search_neighbourhood,geo,geo_full_name,geo_id,geo_bbox,tweet_coordinate
0,0,@HomeForHope @BurnsideGorge I am #homeowner #widow in @saanich had my in trust privateproperty stolen https://t.co/KX9QNPdFag by @cibc @BCProvCourt @David_eby every dime embezzled by @bcndp now #extremepoverty homeless/forced into prostitution. 1st act of #genocide against family/son https://t.co/u7LPS12QS0,4/10/22,1.51322E+18,2022-04-10 18:06:58+00:00,0,0,0,0,HatedByBCgovt,20,Victoria Homeless,0.89046627,Positive,,,,,,,
1,1,"Had loads of yellow sticker mushrooms and a yellow sticker beef joint - so today the homeless couple ate Beef and Mushroom Stroganoff, with rice…followed by gluten free (yellow sticker) Victoria sponge and custard.  In these shitty times it makes me happy I can do a tiny bit 1/2",4/10/22,1.5132E+18,2022-04-10 17:06:10+00:00,1,0,8,0,brightsider123,12507,Victoria Homeless,0.996185615,Positive,,,,,,,
2,2,"@george_pattons @gopisdirty @PeterBartholo14 @DaniTrump2020 @Randomwatcher51 @Bad_Boy_Jesus @Mountain_Buddy @jerbear714 @Vickie627 @LadyOfTheOcean1 @fukit32 @Bigteethyouhave @PridgeWessea @Flattielover @akuscg @Synyster63 @KsLiberal @Frdmlvr3691 @TommyD07868371 @Saggit95 @donnnie @ShellyRKirchoff @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 Taxes
Criminals released 
Crime wave
Hunter
Covid deaths skyrocket
Homeless population growing
The red tsunami",4/10/22,1.51316E+18,2022-04-10 14:36:41+00:00,2,0,3,2,EndZonerBoner,261,Victoria Homeless,0.232945874,Negative,,,,,,,
3,3,"Meanwhile in victoria’s  momo world 🌎 
Homeless diary in Europe!
My friend is sleeping and I don’t have the keys 🔑 waiting  for a miracle and she woke up soon  7 am local time 
Sunday fun day #NFTCommmunity https://t.co/lo2jJyicac",4/10/22,1.51307E+18,2022-04-10 08:26:04+00:00,1,0,2,0,victoriacitro,3725,Victoria Homeless,0.153573729,Negative,,,,,,,
4,4,"Great news

I scored a perfect 10.0 on Twitter today

I defended BIPOC, advocated for the homeless, made our community better, school #brWOKEn idiots, educated the Bicycle Lobby and blocked Together Victoria trolls https://t.co/z0YGPvElDA",4/10/22,1.51299E+18,2022-04-10 03:22:23+00:00,1,0,8,0,CharlesBodi,722,Victoria Homeless,0.035200741,Negative,,,,,,,
5,5,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Yes it is hateful. They’re being treated very badly in Tijuana. They are homeless in Tijuana,4/10/22,1.51299E+18,2022-04-10 02:46:48+00:00,1,0,1,0,Vickie627,6124,Victoria Homeless,0.59009476,Neutral,,,,,,,
6,6,"@Vickie627 @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia No, it's not hateful, when you see what happens to them here. Compassion isn't taking someone in so they can be mistreated, homeless, and used by people at the day labor corral. It's actually more cruel.",4/10/22,1.51298E+18,2022-04-10 02:10:14+00:00,2,0,1,1,PridgeWessea,1466,Victoria Homeless,0.903116118,Positive,,,,,,,
7,7,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia But you don’t do about the homeless anyway except bitch that they’re there.,4/10/22,1.51297E+18,2022-04-10 01:48:25+00:00,1,0,0,0,GFenburn,6,Victoria Homeless,0.544056177,Neutral,,,,,,,
8,8,"@Vickie627 @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Interesting that you say that. 

I'm not right-wing. I just left the left, like many are doing every day lately. 

You're more into the cruelty of being in a strange land and homeless, with no support...in colder temps than they're used to, getting ripped off at day labor. 👍",4/10/22,1.51297E+18,2022-04-10 01:35:26+00:00,3,0,2,1,Andrewj60215382,3,Victoria Homeless,0.60390613,Neutral,,,,,,,
9,9,"@LadyOfTheOcean1 @Vickie627 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia The homeless illegals around here are suffering. It's not like every one of them has a family to stay with here. Then the homeless sweeps happen and their belongings are taken for sanitary reasons, and they're given a ticket that they can't pay.",4/10/22,1.51293E+18,2022-04-09 22:52:07+00:00,0,1,3,0,niMUSHIN,1859,Victoria Homeless,0.328495083,Negative,,,,,,,
